# compartments,# leaks,Leak locations,Input,Output,Identifiable,Rank,Singular Locus
3,0,"",1,1,True,4/4,
3,0,"",1,2,True,4/4,
3,0,"",1,3,False,3/4,
3,0,"",2,2,True,4/4,
3,0,"",2,3,True,4/4,
3,0,"",3,3,True,4/4,
3,1,"1",1,1,True,5/5,
3,1,"1",1,2,True,5/5,
3,1,"1",1,3,False,4/5,
3,1,"1",2,2,True,5/5,
3,1,"1",2,3,True,5/5,
3,1,"1",3,3,True,5/5,
3,1,"2",1,1,True,5/5,
3,1,"2",1,2,True,5/5,
3,1,"2",1,3,False,4/5,
3,1,"2",2,2,True,5/5,
3,1,"2",2,3,True,5/5,
3,1,"2",3,3,True,5/5,
3,1,"3",1,1,True,5/5,
3,1,"3",1,2,True,5/5,
3,1,"3",1,3,False,4/5,
3,1,"3",2,2,True,5/5,
3,1,"3",2,3,True,5/5,
3,1,"3",3,3,True,5/5,
3,2,"1,2",1,1,False,5/6,
3,2,"1,2",1,2,False,5/6,
3,2,"1,2",1,3,False,4/5,
3,2,"1,2",2,2,False,5/6,
3,2,"1,2",2,3,False,5/6,
3,2,"1,2",3,3,False,5/6,
3,2,"1,3",1,1,False,5/6,
3,2,"1,3",1,2,False,5/6,
3,2,"1,3",1,3,False,4/5,
3,2,"1,3",2,2,False,5/6,
3,2,"1,3",2,3,True,6/6,
3,2,"1,3",3,3,False,5/6,
3,2,"2,3",1,1,False,5/6,
3,2,"2,3",1,2,False,5/6,
3,2,"2,3",1,3,False,4/5,
3,2,"2,3",2,2,False,5/6,
3,2,"2,3",2,3,True,6/6,
3,2,"2,3",3,3,False,5/6,
3,3,"1,2,3",1,1,False,5/7,
3,3,"1,2,3",1,2,False,5/6,
3,3,"1,2,3",1,3,False,4/5,
3,3,"1,2,3",2,2,False,5/7,
3,3,"1,2,3",2,3,False,6/6,
3,3,"1,2,3",3,3,False,5/7,
